id,index,host_is_superhost,host_total_listings_count,host_identity_verified,colonia,alcaldía,código_postal,latitude,longitude,accommodates,bathrooms,bedrooms,beds,precio,security_deposit,cleaning_fee,guests_included,extra_people,number_of_reviews,first_review,last_review,review_scores_rating,insta_book,flexible_cancel,Tipo Listado,pets_allowed,gym,breakfast,washer,dryer,parking,elevator,pool,smoking_allowed,hot_tub,ad_duration,Entire home/apt,ln_price,nombre_x,pi_dist,nombre_y,metro_distance
23767163,80368,1,30,0,Juárez,Cuauhtémoc,6600,19.42813,-99.1642,4,2,2,2,1499,0,0,5,300,100,16/3/18,8/7/19,98,1,1,1,0,0,0,0,1,1,1,0,0,0,16.00032855,1,7.312553498,Reforma 222,0.260852287,Insurgentes_1_5,0.513592832
23768360,80384,1,1,0,Hipódromo,Cuauhtémoc,6100,19.40896,-99.17589,4,2.5,2,2,1233,7588,759,4,1897,3,31/7/18,22/4/19,100,0,0,0,0,0,0,1,1,1,1,0,0,0,11.49920943,1,7.117205503,La Condesa,0.590206452,Patriotismo_1_2,0.461266382
23769484,80428,1,30,0,Zona Rosa,Cuauhtémoc,6600,19.42703,-99.16306,2,1,1,1,1005,0,0,3,300,145,14/3/18,9/7/19,98,1,1,1,0,0,0,0,1,1,1,0,0,0,16.06603832,1,6.91274282,Reforma 222,0.252213882,Insurgentes_1_5,0.38218769
23769540,80451,1,6,0,Anzures,Miguel Hidalgo,11320,19.43708,-99.17859,2,1,1,1,645,2500,250,1,350,85,19/3/18,13/7/19,99,1,0,1,0,1,0,1,1,1,1,1,0,0,15.9017639,0,6.469250317,Monumento a los Héroes de la Independencia,1.593199231,Polanco,1.343283009
23771580,80474,0,6,0,Roma Sur,Cuauhtémoc,6760,19.40731,-99.16326,2,1.5,1,1,341,0,120,1,120,9,5/4/18,29/6/19,95,1,0,1,0,0,0,1,1,1,0,0,0,0,15.34323087,0,5.831882477,La Condesa,1.638719817,Chilpancingo_1_2,0.556293705
23772509,80495,1,1,1,Coyoacán,Coyoacán,4030,19.34768,-99.15171,2,1,1,1,341,0,96,1,0,20,26/3/18,20/5/19,99,1,1,0,0,0,0,0,0,1,0,0,1,0,15.67177971,0,5.831882477,Coyoacán,1.251825059,General Anaya,0.95013362
23772570,80534,0,12,1,Roma Sur,Cuauhtémoc,6760,19.40795,-99.16674,3,1,1,1,683,0,341,3,0,11,18/3/18,10/3/19,95,0,0,1,0,0,0,0,1,1,0,0,0,0,15.93461878,1,6.52649486,La Condesa,1.286928389,Chilpancingo_1_2,0.293862277
23781264,80578,1,4,1,Juárez,Cuauhtémoc,6600,19.43006,-99.15868,4,1,2,2,854,0,285,1,0,36,28/3/18,8/7/19,94,1,0,1,1,0,0,1,1,1,0,0,0,0,15.60606994,1,6.749931194,Reforma 222,0.356336043,Cuauhtémoc_1_2,0.652954121
23788651,80595,0,1,0,Polanco,Miguel Hidalgo,11550,19.4309,-99.20372,4,1,2,2,1195,2500,500,4,300,48,31/3/18,24/6/19,88,1,0,0,0,0,0,1,1,0,0,0,1,0,15.50750529,1,7.085901464,Polanco,0.915167766,Polanco,1.382418871
23791938,80624,1,3,0,Condesa,Cuauhtémoc,6140,19.41444,-99.17372,2,1.5,1,1,816,0,150,1,0,60,18/3/18,4/7/19,94,1,0,1,0,0,0,1,1,1,0,0,0,0,15.93461878,1,6.704414355,La Condesa,0.357335254,Chapultepec,0.71283178
23802390,80654,0,1,0,Condesa,Cuauhtémoc,6140,19.41411,-99.17969,2,1.5,1,1,2959,1897,759,1,0,3,16/11/18,1/4/19,100,0,0,0,0,0,0,1,1,1,1,0,0,0,7.950881948,1,7.992606652,La Condesa,0.269903495,Juanacatlán,0.283407096
23806900,80687,0,4,0,Roma Norte,Cuauhtémoc,6700,19.41411,-99.15713,3,1,1,3,778,3000,350,2,200,80,29/3/18,6/7/19,95,0,0,1,0,0,0,0,1,1,0,0,0,0,15.57321506,1,6.656726524,Arena México,1.300684414,Hospital General_1,0.414490907
23807243,80717,1,15,0,Roma Norte,Cuauhtémoc,6700,19.42051,-99.15882,2,1,1,1,1992,15000,450,2,650,21,8/4/18,11/7/19,97,1,0,1,0,0,0,1,1,0,0,0,0,0,15.24466621,1,7.596894438,Arena México,0.888225319,Insurgentes_1_5,0.577338263
23807902,80757,1,1,0,San Miguel Chapultepec,Miguel Hidalgo,11850,19.41284,-99.18529,3,1,1,1,854,2000,200,1,0,73,31/3/18,11/7/19,98,1,1,0,0,0,0,1,1,1,0,0,1,0,15.50750529,1,6.749931194,Lago del Bosque de Chapultepec,0.86311209,Juanacatlán,0.337494924
23808422,80767,0,1,0,,Venustiano Carranza,15000,19.40926,-99.09281,5,3,3,3,854,0,350,1,250,34,30/3/18,30/6/19,95,1,0,0,0,0,0,1,1,0,1,0,0,0,15.54036017,1,6.749931194,Palacio Nacional,4.79566004,Ciudad Deportiva,0.198429962
